feature,importance_mean,importance_std
Cong_suat_toi_da,0.5681713005458842,0.025937049774471418
Tuoi_xe,0.25592723507571125,0.012269952188700535
Dung_tich(cc),0.1068306332521399,0.007625015367787547
Hang_xe,0.06352167736211684,0.005393672155461449
Hop_so,0.036128155739637235,0.003328961944643506
Muc_tieu_hao(km/l),0.02153560617182637,0.0019843390272054873
log_Quang_duong_da_di(km),0.013564918602879884,0.002961887316252295
Loai_nhien_lieu,0.011778973445334361,0.0006624395815309766
So_cho_ngoi,0.0052442579399855525,0.0006817132608814885
Km_moi_nam,0.00034167025666451687,0.0018957083065075718
Chay_nhieu,4.053962831400693e-05,0.0002775824303293078
Top_xe,-0.00012829635381099712,0.0004288416956996259
Quyen_so_huu,-0.0011163978779897387,0.0005203148058268194
