feature,importance_mean,importance_std
Cong_suat_toi_da,0.4921810330580819,0.021512318809265362
Tuoi_xe,0.24941411846845046,0.01159680100527123
Dung_tich(cc),0.13704573721856037,0.0067672101959951915
Hop_so,0.05377141680912121,0.0055540808242294775
Hang_xe,0.017313190048687144,0.0009008686872151487
log_Quang_duong_da_di(km),0.015899305696111487,0.0016939047214693957
Muc_tieu_hao(km/l),0.013935398798539366,0.001081906655744805
Loai_nhien_lieu,0.011508363752940943,0.001137692813663153
So_cho_ngoi,0.002918185891467695,0.0002542757293879037
Chay_nhieu,0.002307793002799985,0.0007070399199947166
Km_moi_nam,0.0010399144854188914,0.0006101732321008216
Top_xe,7.014326343844912e-05,0.00011952169233725934
Quyen_so_huu,2.1672950208317942e-05,0.00020562571039092422
