epoch,train_loss,val_map_50_95,val_map_50,lr
1,0.7002726783071246,0.015989061444997787,0.051337845623493195,0.005
2,0.5932200740064894,0.03044167347252369,0.09033919870853424,0.005
3,0.5451726794242859,0.04839105159044266,0.1420983374118805,0.005
4,0.5141002200331006,0.05872688069939613,0.16686487197875977,0.005
5,0.472250656911305,0.07489857077598572,0.20127759873867035,0.005
6,0.4389411268915449,0.08180461823940277,0.21877135336399078,0.005
7,0.4129311690160206,0.09622122347354889,0.25007349252700806,0.005
8,0.38372328868934086,0.10995859652757645,0.2723822295665741,0.005
9,0.3585219087771007,0.1087564006447792,0.2715056538581848,0.005
10,0.3355279191051211,0.11760156601667404,0.28911855816841125,0.0005
11,0.2834212874514716,0.12428219616413116,0.2966000735759735,0.0005
12,0.2699976858922413,0.12615278363227844,0.3015730082988739,0.0005
13,0.26284571094172343,0.12772201001644135,0.3056775629520416,0.0005
14,0.25709144873278483,0.12449782341718674,0.29941681027412415,0.0005
15,0.2516731672201838,0.1211802139878273,0.30012816190719604,0.0005
16,0.24534213121448245,0.12630875408649445,0.30848392844200134,0.0005
17,0.24057435069765362,0.12524384260177612,0.3040289282798767,0.0005
18,0.23605411380529404,0.12191585451364517,0.3031719923019409,0.0005
19,0.22975102509771075,0.12318862229585648,0.298430472612381,0.0005
20,0.22530375923429216,0.12253658473491669,0.2980637848377228,5e-05
21,0.21770054629870825,0.12118272483348846,0.2992579936981201,5e-05
22,0.21702414291245598,0.12208367139101028,0.2960749566555023,5e-05
23,0.2156419374687331,0.12062030285596848,0.2984820306301117,5e-05
24,0.21598669401236942,0.12202707678079605,0.2976282238960266,5e-05
25,0.21518359056540898,0.12133806198835373,0.29777753353118896,5e-05
26,0.21449685479913438,0.1209230050444603,0.29876887798309326,5e-05
27,0.21421666298593794,0.11974973231554031,0.3002607822418213,5e-05
28,0.21319009223154614,0.12041317671537399,0.2966635227203369,5e-05
29,0.21345313199928828,0.12019011378288269,0.29764825105667114,5e-05
30,0.21324011862277983,0.12143032252788544,0.2977333962917328,5e-06
