epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5918.08,1.24615,1.37208,1.38184,0.70809,0.6799,0.69875,0.54872,1.22826,1.30836,1.41235,0.0005941,0.0005941,0.0005941
43,6055.65,1.22006,1.3355,1.36597,0.73095,0.67142,0.70585,0.54671,1.21714,1.29789,1.39415,0.0005842,0.0005842,0.0005842
44,6189.32,1.22323,1.33582,1.36978,0.74068,0.66167,0.70745,0.54584,1.23348,1.28148,1.40547,0.0005743,0.0005743,0.0005743
45,6323.85,1.22842,1.32579,1.36833,0.73334,0.66982,0.70501,0.54771,1.22464,1.30177,1.4057,0.0005644,0.0005644,0.0005644
46,6458.87,1.21334,1.30728,1.3568,0.73025,0.68603,0.69989,0.54834,1.22553,1.27118,1.39425,0.0005545,0.0005545,0.0005545
47,6594.44,1.21892,1.31235,1.36317,0.73297,0.6774,0.70909,0.55281,1.22654,1.28373,1.39124,0.0005446,0.0005446,0.0005446
48,6736.37,1.21024,1.27612,1.34737,0.72631,0.68361,0.699,0.54875,1.22934,1.26423,1.40424,0.0005347,0.0005347,0.0005347
49,6873.34,1.20476,1.2693,1.3479,0.7632,0.66554,0.70042,0.54366,1.20444,1.27004,1.38736,0.0005248,0.0005248,0.0005248
50,7011.23,1.19104,1.25381,1.34117,0.72991,0.68724,0.70324,0.54741,1.24203,1.27571,1.41778,0.0005149,0.0005149,0.0005149
51,7149.74,1.18413,1.23914,1.32806,0.72833,0.68848,0.7053,0.55297,1.21802,1.27955,1.40017,0.000505,0.000505,0.000505
52,7288.59,1.17038,1.21463,1.32674,0.72554,0.67806,0.69857,0.55224,1.22184,1.2729,1.4002,0.0004951,0.0004951,0.0004951
53,7425.34,1.17195,1.20791,1.32728,0.74627,0.67534,0.70617,0.55261,1.22116,1.28825,1.39767,0.0004852,0.0004852,0.0004852
